epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1602.11,0.31405,0.23274,0.9316,0.92169,0.83105,0.93731,0.91386,0.23199,0.30102,0.80493,0.005842,0.005842,0.005842
86,1620.94,0.31435,0.23021,0.9293,0.9278,0.88626,0.95233,0.92117,0.23948,0.2966,0.81073,0.0057925,0.0057925,0.0057925
87,1639.87,0.30488,0.22498,0.92731,0.93593,0.89233,0.95458,0.92211,0.23924,0.30217,0.80398,0.005743,0.005743,0.005743
88,1658.62,0.30893,0.22314,0.92682,0.83933,0.89189,0.93515,0.90429,0.22486,0.28212,0.79843,0.0056935,0.0056935,0.0056935
89,1677.46,0.3038,0.21932,0.92454,0.84785,0.88636,0.93051,0.89992,0.23493,0.3126,0.80847,0.005644,0.005644,0.005644
90,1696.05,0.31001,0.22502,0.92941,0.78669,0.88812,0.91401,0.88041,0.23108,0.30289,0.80244,0.0055945,0.0055945,0.0055945
91,1714.85,0.31353,0.22525,0.92544,0.85775,0.82469,0.91455,0.8848,0.2291,0.31659,0.80041,0.005545,0.005545,0.005545
92,1733.77,0.30428,0.21745,0.92392,0.87878,0.87641,0.93969,0.90679,0.23491,0.31345,0.80199,0.0054955,0.0054955,0.0054955
93,1752.45,0.30146,0.21703,0.92219,0.89409,0.88091,0.93486,0.90568,0.22979,0.30075,0.80188,0.005446,0.005446,0.005446
94,1771.15,0.30764,0.22085,0.92003,0.89229,0.86436,0.9403,0.91309,0.22671,0.29037,0.80071,0.0053965,0.0053965,0.0053965
95,1789.93,0.3058,0.21846,0.92258,0.87491,0.87801,0.93974,0.90983,0.23156,0.31266,0.80349,0.005347,0.005347,0.005347
96,1808.99,0.30188,0.21667,0.92408,0.89577,0.87907,0.94124,0.90982,0.22965,0.28561,0.80114,0.0052975,0.0052975,0.0052975
97,1827.79,0.30544,0.21783,0.92391,0.88653,0.85111,0.9405,0.91067,0.22985,0.31772,0.80198,0.005248,0.005248,0.005248
98,1846.52,0.30469,0.21942,0.92075,0.8573,0.86527,0.93091,0.89532,0.22425,0.29449,0.79495,0.0051985,0.0051985,0.0051985
99,1865.32,0.3041,0.21421,0.92416,0.76126,0.8885,0.87916,0.85231,0.22547,0.34748,0.80008,0.005149,0.005149,0.005149
100,1884.14,0.2999,0.21627,0.92111,0.79191,0.91055,0.91701,0.89185,0.22192,0.30229,0.79603,0.0050995,0.0050995,0.0050995
101,1902.92,0.30174,0.20796,0.92042,0.90161,0.88339,0.94236,0.91533,0.2244,0.27706,0.79803,0.00505,0.00505,0.00505
102,1921.84,0.30232,0.21582,0.92357,0.84089,0.83276,0.91326,0.88657,0.21798,0.30945,0.7941,0.0050005,0.0050005,0.0050005
103,1940.64,0.29795,0.21158,0.92058,0.79978,0.8323,0.88228,0.85678,0.22416,0.37905,0.80024,0.004951,0.004951,0.004951
104,1959.47,0.29884,0.2165,0.92038,0.77668,0.92913,0.91583,0.89024,0.22625,0.30193,0.80063,0.0049015,0.0049015,0.0049015
105,1978.28,0.29678,0.20884,0.92036,0.82803,0.91032,0.92721,0.89984,0.22586,0.28964,0.80014,0.004852,0.004852,0.004852
106,1996.9,0.30138,0.21239,0.92466,0.90624,0.83308,0.92777,0.90181,0.22485,0.29165,0.79887,0.0048025,0.0048025,0.0048025
107,2015.81,0.30027,0.21215,0.92204,0.8765,0.85992,0.92886,0.90611,0.21661,0.2837,0.79588,0.004753,0.004753,0.004753
108,2034.59,0.29239,0.20558,0.91535,0.86428,0.84277,0.92014,0.89582,0.21936,0.30101,0.79694,0.0047035,0.0047035,0.0047035
