epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,4739.97,0.27061,0.16916,0.91729,0.79921,0.90393,0.91053,0.89027,0.2083,0.3743,0.79417,0.0022285,0.0022285,0.0022285
159,4769.87,0.26327,0.16473,0.90953,0.80407,0.8947,0.90932,0.8861,0.20916,0.37665,0.79439,0.002179,0.002179,0.002179
160,4799.92,0.2671,0.16814,0.91315,0.79908,0.8915,0.90686,0.88406,0.20902,0.38554,0.79404,0.0021295,0.0021295,0.0021295
161,4829.84,0.26582,0.16447,0.91117,0.81244,0.87629,0.90429,0.8789,0.20972,0.39114,0.79455,0.00208,0.00208,0.00208
162,4859.84,0.26582,0.1643,0.91525,0.82907,0.86052,0.90511,0.87966,0.21102,0.38323,0.79604,0.0020305,0.0020305,0.0020305
163,4889.81,0.26068,0.16313,0.91315,0.8432,0.85356,0.90991,0.8884,0.20928,0.38072,0.79607,0.001981,0.001981,0.001981
164,4919.66,0.25878,0.16557,0.90832,0.82752,0.87147,0.91574,0.89499,0.2082,0.3709,0.79635,0.0019315,0.0019315,0.0019315
165,4949.57,0.26359,0.16633,0.91463,0.83391,0.86958,0.91542,0.89436,0.20715,0.37007,0.79506,0.001882,0.001882,0.001882
166,4979.46,0.25646,0.15822,0.90676,0.82667,0.86958,0.91558,0.89446,0.2063,0.36545,0.79422,0.0018325,0.0018325,0.0018325
167,5009.3,0.26565,0.16203,0.91448,0.81246,0.89531,0.91769,0.89712,0.207,0.36245,0.79449,0.001783,0.001783,0.001783
168,5039.28,0.26673,0.16429,0.91241,0.8236,0.89091,0.91862,0.8981,0.20763,0.35764,0.79489,0.0017335,0.0017335,0.0017335
169,5069.09,0.25982,0.16068,0.91416,0.81664,0.8954,0.92016,0.89859,0.20544,0.35019,0.79395,0.001684,0.001684,0.001684
170,5099.18,0.2666,0.16053,0.91539,0.81205,0.89531,0.91952,0.89885,0.20543,0.34249,0.79367,0.0016345,0.0016345,0.0016345
